Code	Exams	Prob	Time	Seed.Gen	Seed.Code
code1	30	20	0.007000	1101	1101
code1	30	20	0.001000	1102	1102
code1	30	20	0.000000	1103	1103
code1	30	20	0.000000	1104	1104
code1	30	20	0.001000	1105	1105
code1	30	20	0.001000	1106	1106
code1	30	20	0.002000	1107	1107
code1	30	20	0.001000	1108	1108
code1	30	20	0.002000	1109	1109
code1	30	20	0.000000	1110	1110
code1	30	20	0.008000	1111	1111
code1	30	20	0.000000	1112	1112
code1	30	20	0.016000	1113	1113
code1	30	20	0.002000	1114	1114
code1	30	20	0.000000	1115	1115
code1	30	20	0.004000	1116	1116
code1	30	20	0.007000	1117	1117
code1	30	20	0.002000	1118	1118
code1	30	20	0.000000	1119	1119
code1	30	20	0.009000	1120	1120
code1	30	20	0.004000	1121	1121
code1	30	20	0.000000	1122	1122
code1	30	20	0.000000	1123	1123
code1	30	20	0.427000	1124	1124
code1	30	20	0.000000	1125	1125
code1	30	20	0.002000	1126	1126
code1	30	20	0.000000	1127	1127
code1	30	20	0.002000	1128	1128
code1	30	20	0.000000	1129	1129
code1	30	20	0.000000	1130	1130
code1	30	30	0.000000	1201	1201
code1	30	30	0.007000	1202	1202
code1	30	30	0.009000	1203	1203
code1	30	30	0.255000	1204	1204
code1	30	30	0.011000	1205	1205
code1	30	30	0.004000	1206	1206
code1	30	30	0.030000	1207	1207
code1	30	30	0.015000	1208	1208
code1	30	30	0.007000	1209	1209
code1	30	30	0.002000	1210	1210
code1	30	30	0.004000	1211	1211
code1	30	30	0.012000	1212	1212
code1	30	30	0.003000	1213	1213
code1	30	30	0.055000	1214	1214
code1	30	30	0.012000	1215	1215
code1	30	30	0.031000	1216	1216
code1	30	30	0.003000	1217	1217
code1	30	30	0.040000	1218	1218
code1	30	30	0.009000	1219	1219
code1	30	30	0.023000	1220	1220
code1	30	30	0.001000	1221	1221
code1	30	30	2.837000	1222	1222
code1	30	30	0.022000	1223	1223
code1	30	30	0.410000	1224	1224
code1	30	30	0.005000	1225	1225
code1	30	30	0.005000	1226	1226
code1	30	30	0.005000	1227	1227
code1	30	30	0.085000	1228	1228
code1	30	30	4.440000	1229	1229
code1	30	30	0.011000	1230	1230
code1	30	40	0.228000	1301	1301
code1	30	40	3.766000	1302	1302
code1	30	40	20.635000	1303	1303
code1	30	40	0.353000	1304	1304
code1	30	40	0.044000	1305	1305
code1	30	40	0.016000	1306	1306
code1	30	40	26.204000	1307	1307
code1	30	40	0.306000	1308	1308
code1	30	40	7.886000	1309	1309
code1	30	40	1.042000	1310	1310
code1	30	40	0.035000	1311	1311
code1	30	40	0.217000	1312	1312
code1	30	40	0.094000	1313	1313
code1	30	40	0.100000	1314	1314
code1	30	40	13.017000	1315	1315
code1	30	40	0.036000	1316	1316
code1	30	40	0.009000	1317	1317
code1	30	40	91.303000	1318	1318
code1	30	40	0.340000	1319	1319
code1	30	40	0.080000	1320	1320
code1	30	40	1.141000	1321	1321
code1	30	40	0.355000	1322	1322
code1	30	40	0.034000	1323	1323
code1	30	40	0.413000	1324	1324
code1	30	40	0.276000	1325	1325
code1	30	40	0.017000	1326	1326
code1	30	40	24.512000	1327	1327
code1	30	40	0.130000	1328	1328
code1	30	40	0.158000	1329	1329
code1	30	40	0.076000	1330	1330
code1	35	20	0.711000	1401	1401
code1	35	20	1.923000	1402	1402
code1	35	20	0.013000	1403	1403
code1	35	20	0.053000	1404	1404
code1	35	20	0.031000	1405	1405
code1	35	20	0.001000	1406	1406
code1	35	20	0.003000	1407	1407
code1	35	20	0.012000	1408	1408
code1	35	20	0.001000	1409	1409
code1	35	20	0.007000	1410	1410
code1	35	20	0.230000	1411	1411
code1	35	20	0.001000	1412	1412
code1	35	20	0.014000	1413	1413
code1	35	20	0.048000	1414	1414
code1	35	20	0.405000	1415	1415
code1	35	20	0.055000	1416	1416
code1	35	20	0.742000	1417	1417
code1	35	20	0.009000	1418	1418
code1	35	20	1.650000	1419	1419
code1	35	20	0.000000	1420	1420
code1	35	20	0.002000	1421	1421
code1	35	20	0.313000	1422	1422
code1	35	20	0.248000	1423	1423
code1	35	20	0.006000	1424	1424
code1	35	20	0.236000	1425	1425
code1	35	20	0.183000	1426	1426
code1	35	20	0.005000	1427	1427
code1	35	20	0.003000	1428	1428
code1	35	20	0.072000	1429	1429
code1	35	20	0.005000	1430	1430
code1	35	30	0.379000	1501	1501
code1	35	30	9.031000	1502	1502
code1	35	30	0.522000	1503	1503
code1	35	30	0.173000	1504	1504
code1	35	30	1.900000	1505	1505
code1	35	30	6.712000	1506	1506
code1	35	30	2.007000	1507	1507
code1	35	30	0.111000	1508	1508
code1	35	30	2.890000	1509	1509
code1	35	30	1.487000	1510	1510
code1	35	30	9.159000	1511	1511
code1	35	30	0.026000	1512	1512
code1	35	30	1.253000	1513	1513
code1	35	30	0.768000	1514	1514
code1	35	30	0.647000	1515	1515
code1	35	30	0.115000	1516	1516
code1	35	30	1.339000	1517	1517
code1	35	30	6.586000	1518	1518
code1	35	30	1.469000	1519	1519
code1	35	30	34.930000	1520	1520
code1	35	30	0.056000	1521	1521
code1	35	30	0.019000	1522	1522
code1	35	30	0.082000	1523	1523
code1	35	30	55.274000	1524	1524
code1	35	30	0.055000	1525	1525
code1	35	30	0.129000	1526	1526
code1	35	30	0.020000	1527	1527
code1	35	30	0.028000	1528	1528
code1	35	30	138.723000	1529	1529
code1	35	30	1.096000	1530	1530
code1	35	40	130.813000	1601	1601
code1	35	40	2.802000	1602	1602
code1	35	40	10.807000	1603	1603
code1	35	40	0.593000	1604	1604
code1	35	40	3.648000	1605	1605
code1	35	40	29.535000	1606	1606
code1	35	40	6.703000	1607	1607
code1	35	40	20.133000	1608	1608
code1	35	40	1.311000	1609	1609
code1	35	40	50.403000	1610	1610
code1	35	40	1.828000	1611	1611
code1	35	40	113.203000	1612	1612
code1	35	40	0.259000	1613	1613
code1	35	40	0.654000	1614	1614
code1	35	40	17.318000	1615	1615
code1	35	40	2.692000	1616	1616
code1	35	40	0.059000	1617	1617
code1	35	40	2.488000	1618	1618
code1	35	40	32.489000	1619	1619
code1	35	40	37.107000	1620	1620
code1	35	40	106.310000	1621	1621
code1	35	40	4.010000	1622	1622
code1	35	40	411.170000	1623	1623
code1	35	40	55.816000	1624	1624
code1	35	40	7.914000	1625	1625
code1	35	40	707.788000	1626	1626
code1	35	40	0.022000	1627	1627
code1	35	40	7.161000	1628	1628
code1	35	40	12.106000	1629	1629
code1	35	40	15.016000	1630	1630
code1	40	20	1.716000	1701	1701
code1	40	20	0.283000	1702	1702
code1	40	20	1.298000	1703	1703
code1	40	20	1.139000	1704	1704
code1	40	20	14.650000	1705	1705
code1	40	20	2.767000	1706	1706
code1	40	20	15.886000	1707	1707
code1	40	20	38.349000	1708	1708
code1	40	20	5.008000	1709	1709
code1	40	20	0.126000	1710	1710
code1	40	20	8.973000	1711	1711
code1	40	20	3.904000	1712	1712
code1	40	20	0.181000	1713	1713
code1	40	20	6.153000	1714	1714
code1	40	20	16.534000	1715	1715
code1	40	20	0.634000	1716	1716
code1	40	20	19.769000	1717	1717
code1	40	20	0.105000	1718	1718
code1	40	20	6.499000	1719	1719
code1	40	20	0.926000	1720	1720
code1	40	20	0.019000	1721	1721
code1	40	20	0.857000	1722	1722
code1	40	20	3.150000	1723	1723
code1	40	20	1.096000	1724	1724
code1	40	20	0.121000	1725	1725
code1	40	20	0.026000	1726	1726
code1	40	20	0.158000	1727	1727
code1	40	20	53.281000	1728	1728
code1	40	20	0.468000	1729	1729
code1	40	20	0.410000	1730	1730
code1	40	30	16.523000	1801	1801
code1	40	30	1.141000	1802	1802
code1	40	30	31.863000	1803	1803
code1	40	30	5.847000	1804	1804
code1	40	30	0.135000	1805	1805
code1	40	30	0.732000	1806	1806
code1	40	30	17.585000	1807	1807
code1	40	30	2.584000	1808	1808
code1	40	30	95.799000	1809	1809
code1	40	30	5.407000	1810	1810
code1	40	30	26.489000	1811	1811
code1	40	30	2.655000	1812	1812
code1	40	30	37.810000	1813	1813
code1	40	30	44.918000	1814	1814
code1	40	30	0.104000	1815	1815
code1	40	30	1000.001000	1816	1816
code1	40	30	2.394000	1817	1817
code1	40	30	22.187000	1818	1818
code1	40	30	16.650000	1819	1819
code1	40	30	38.336000	1820	1820
code1	40	30	25.351000	1821	1821
code1	40	30	21.510000	1822	1822
code1	40	30	14.359000	1823	1823
code1	40	30	52.815000	1824	1824
code1	40	30	6.565000	1825	1825
code1	40	30	25.149000	1826	1826
code1	40	30	27.917000	1827	1827
code1	40	30	10.155000	1828	1828
code1	40	30	116.032000	1829	1829
code1	40	30	41.459000	1830	1830
code1	40	40	50.561000	1901	1901
code1	40	40	40.143000	1902	1902
code1	40	40	42.732000	1903	1903
code1	40	40	29.219000	1904	1904
code1	40	40	137.152000	1905	1905
code1	40	40	461.551000	1906	1906
code1	40	40	337.917000	1907	1907
code1	40	40	497.819000	1908	1908
code1	40	40	1000.001000	1909	1909
code1	40	40	15.342000	1910	1910
code1	40	40	239.603000	1911	1911
code1	40	40	150.866000	1912	1912
code1	40	40	1000.001000	1913	1913
code1	40	40	26.396000	1914	1914
code1	40	40	219.066000	1915	1915
code1	40	40	39.597000	1916	1916
code1	40	40	96.037000	1917	1917
code1	40	40	41.200000	1918	1918
code1	40	40	133.671000	1919	1919
code1	40	40	23.489000	1920	1920
code1	40	40	16.542000	1921	1921
code1	40	40	158.309000	1922	1922
code1	40	40	19.891000	1923	1923
code1	40	40	81.240000	1924	1924
code1	40	40	16.897000	1925	1925
code1	40	40	1000.001000	1926	1926
code1	40	40	80.629000	1927	1927
code1	40	40	176.299000	1928	1928
code1	40	40	77.179000	1929	1929
code1	40	40	72.358000	1930	1930
code2	30	20	0.002000	2101	2101
code2	30	20	0.002000	2102	2102
code2	30	20	0.000000	2103	2103
code2	30	20	0.001000	2104	2104
code2	30	20	0.003000	2105	2105
code2	30	20	0.002000	2106	2106
code2	30	20	0.001000	2107	2107
code2	30	20	0.019000	2108	2108
code2	30	20	0.012000	2109	2109
code2	30	20	0.851000	2110	2110
code2	30	20	0.003000	2111	2111
code2	30	20	0.000000	2112	2112
code2	30	20	0.343000	2113	2113
code2	30	20	0.001000	2114	2114
code2	30	20	0.017000	2115	2115
code2	30	20	0.010000	2116	2116
code2	30	20	0.001000	2117	2117
code2	30	20	0.149000	2118	2118
code2	30	20	0.001000	2119	2119
code2	30	20	0.012000	2120	2120
code2	30	20	0.000000	2121	2121
code2	30	20	0.057000	2122	2122
code2	30	20	0.001000	2123	2123
code2	30	20	0.011000	2124	2124
code2	30	20	0.001000	2125	2125
code2	30	20	0.001000	2126	2126
code2	30	20	0.000000	2127	2127
code2	30	20	0.000000	2128	2128
code2	30	20	0.001000	2129	2129
code2	30	20	0.001000	2130	2130
code2	30	30	0.132000	2201	2201
code2	30	30	0.001000	2202	2202
code2	30	30	0.041000	2203	2203
code2	30	30	0.007000	2204	2204
