Code	Exams	Prob	Time	Seed Gen	Seed Code
code1	10	5	0.000018	25807099935316824	3935727492369119
code1	10	5	0.000018	49730438260039944	7013155761688445
code1	10	5	0.000017	6266199663153552	4354717358982749
code1	10	5	0.000019	7182237544883304	1251773302390371
code1	10	5	0.000018	4434723415674757	44404578158975805
code1	10	5	0.000018	6529327204105827	26819253588792547
code1	10	5	0.000018	3988235969531416	8590964769335727
code1	10	5	0.000018	6402262014106337	6807970637243441
code1	10	5	0.000019	8795731897780957	6636589086944653
code1	10	5	0.000018	7966906688506316	5265582382838843
code1	10	5	0.000018	19284110658407128	8304485173967551
code1	10	5	0.000018	6763287807414178	6831260095761148
code1	10	5	0.000020	8518408892213217	24942553538254142
code1	10	5	0.000017	8586527456031812	9318858790638097
code1	10	5	0.000019	9154901254359538	4937534450711819
code1	10	5	0.000020	5959284879744244	3953815627017536
code1	10	5	0.000018	8103513422987602	7498543106509749
code1	10	5	0.000018	5610377422059974	9559444837594072
code1	10	5	0.000017	4971805796738703	38037852704585173
code1	10	5	0.000018	5882501491126819	49510145206589207
code1	10	5	0.000017	19494393624079187	7743548589207216
code1	10	5	0.000018	1379960188186694	5012957743179114
code1	10	5	0.000018	5375490977163659	7269699297238124
code1	10	5	0.000018	16576332988253473	1289315324305802
code1	10	5	0.000019	101568061166461	7390872525330331
code1	10	5	0.000018	8240240023446755	9317766094387747
code1	10	5	0.000018	3031603447348403	44159556531587274
code1	10	5	0.000018	5197151452586138	49660424961199656
code1	10	5	0.000019	40888710065185807	7864522689441144
code1	10	5	0.000018	6521892689452786	458833292559235
code1	10	15	0.000019	14430620077724754	9032229258524057
code1	10	15	0.000018	2028588791281568	48380716810389135
code1	10	15	0.000018	6584295336471517	5406522155348642
code1	10	15	0.000027	4603635059207234	35261775128860884
code1	10	15	0.000018	7558709868046378	18888656169454443
code1	10	15	0.000019	559841750865426	3193558525488486
code1	10	15	0.000017	8000111573516322	9207359149869201
code1	10	15	0.000019	5751107956799449	10779995699954625
code1	10	15	0.000019	11750252812505102	358364984249258
code1	10	15	0.000024	34662348962736234	7236768218804658
code1	10	15	0.000025	618249120286843	29333775133937356
code1	10	15	0.000022	6093375356158857	19756151266095523
code1	10	15	0.000030	8583281736598614	9958189043186293
code1	10	15	0.000017	6912416128371016	4217511556967015
code1	10	15	0.000022	22795613089412148	8464929217107939
code1	10	15	0.000029	5396633249769134	3970143893042577
code1	10	15	0.000017	6613480909447822	47595538104880264
code1	10	15	0.000018	3135553532958094	711739157446861
code1	10	15	0.000032	7655804352220785	1907476612132073
code1	10	15	0.000018	953059087023516	22285252040026438
code1	10	15	0.000018	16068670614046332	6342858945778046
code1	10	15	0.000021	5917855776999832	89794649655486
code1	10	15	0.000020	32060773503485807	35667919932275016
code1	10	15	0.000019	9597183785664024	6571091490214465
code1	10	15	0.000018	7597802053050462	45526813150880896
code1	10	15	0.000075	6090490287113401	5570762295228326
code1	10	15	0.000018	2356658179632708	30107735047280126
code1	10	15	0.000021	4318375410467965	47604483073785975
code1	10	15	0.000017	39343932464665254	30426794745050656
code1	10	15	0.000019	20753058639964017	4644537688354359
code1	10	25	0.000025	21704655037761866	38973560036908583
code1	10	25	0.000018	8799726041451655	9731754189164936
code1	10	25	0.000022	6043085739485637	8457206012426782
code1	10	25	0.000017	3466634867432835	6080412577552349
code1	10	25	0.000018	9279934044084936	34027478521999854
code1	10	25	0.000038	506035693655633	7086944522769476
code1	10	25	0.000017	23824465495909775	8811377745273661
code1	10	25	0.000017	12842287759066628	9740610547690891
code1	10	25	0.000019	8765506708754244	42421534975929764
code1	10	25	0.000032	5831253189997668	377985748967542
code1	10	25	0.000021	2988713352408999	376677827223421
code1	10	25	0.000020	9112443688687573	41263042824641105
code1	10	25	0.000020	38528194999081133	5265631612459809
code1	10	25	0.000036	9376277359829215	8340325579274187
code1	10	25	0.000058	49065765945170425	6356085661417022
code1	10	25	0.000017	9387397146394673	5443384833608492
code1	10	25	0.000021	83113396094144	9818037361755917
code1	10	25	0.000019	8145187391631088	6162026089345849
